username,caption,comment,bio,name,other posts caption,other post comment,location frequency,method,country,addition
bxeq_.xmmq2_3,,,,,1,,,,Thailand,
aehohaeh,1,,1,,1,,,,Thailand,
knomjeanie,,,,,,1,,,Thailand,CNX in bio
nnanunnie,,,,,,,,,Unknown,
jelly.eatz,,,,,,,,,Unknown,
b_you_6,1,1,,,,,,,Thailand,
feii06.14,,,,,,,,,Unknown,chinese
llookbookk_,,,,,,,,,Unknown,Thai with many lan
thasit365,1,1,1,1,1,1,,,Thailand,
best_racing,,,,,1,1,,,Thailand,
maya.chiangmai,,,,,,,,,NAT,
kanyanataiw,1,,,,1,,,,Thailand,
golfzarescue,1,,,1,1,,,,Thailand,
wputthipong,1,,,,1,,,,Thailand,
thanya_nice69,1,,,,1,,,,Thailand,
ppxd_1911,,1,,,,1,,,Thailand,
iiceew,,,,,,1,,,Thailand,
bossbeeba,,,,,1,1,,,Thailand,
duangduean_1456,,,1,,1,,,,Thailand,
s_vladte,,1,,1,1,1,,,Thailand,conflick bio and name
yoktmw,,1,,,1,1,,,Thailand,
allsouls_international,,,,,,,,,NAT,
adisornkiddeemamrky,,,,,1,,,,Thailand,
pareprn_,1,,,,1,,,,Thailand,
tamsambuk,1,,,,1,,,,Thailand,
ashley.c0201,1,,,,1,,,,Unknown,Chinese
mimiw_srty,,1,,,,1,,,Thailand,bio jspsnese
kanong_dej,1,,,,1,,,,Thailand,
minaf_yaroslav,,,1,1,1,,,,Russia,
i.fuck.g3on,1,1,,1,1,,,,Thailand,
_a.zxissr_,,,,,1,1,,,Thailand,lots language
phupha_ct,1,,1,,1,,,,Thailand,
_fascineuz._,,,,,,,,,Unknown,
kun_koon_56,1,,1,,1,,,,Thailand,
mint.mint.m,,,,,1,,,,Thailand,
tantawun41,1,,1,,1,,,,Thailand,
nanchadk,1,,,,1,,,,Thailand,
dpie.ty,,,,,,,,,Unknown,
chiang_mai_daily,1,,,,1,,,,Ukrain,
w.petchmongkol,1,,1,1,1,,,,Thailand,
21.sofar,,,,,1,1,,,Thailand,
filmfoongg,,1,,,,1,,,Thailand,
_.poxnd._,,1,,,1,1,,,Thailand,
nadia_luvmylipgloss,,,,,,,,,Unknown,
_12.37,,,,,1,1,,,Thailand,
sikohnon,,1,,1,,,,,Thailand,
21.sofar,1,,,,1,1,,,Thailand,
bumpttk,,,,,,,,,Unknown,
teshin.7_,1,1,1,,1,1,,,Thailand,
jack.turkey01,,,1,,,,,,England,
28_km_,,1,,,,1,,,Thailand,
anucha_eat_and_travel,,,,,,,,,Unknown,
ball_ball_2222,1,,,,1,,,,Thailand,
_.nam_th,,,,,1,1,,,Thailand,
jn_memories29,,,,,,,,,Unknown,
boy.phakin,1,,1,,1,,,,Thailand,
ninew70,1,,,,1,,,,Thailand,
akarat.ns,,1,,,1,,,,Thailand,
veganhealthycoach,1,,1,1,1,,,,Thailand,
tamsambuk,1,1,,,1,1,,,Thailand,
ttswthailand,,,1,,,,,,Australia,emoji
_pass.official,,,,,,,,,NAT,
followme_followmystyle,,,,,,,,,NAT,
witamin_17,1,,1,1,1,,,,Thailand,
zeno.ng.0910,1,,1,,1,,,,HongKong,chinese
sngeunzzan,,1,,,1,1,,,Korea,
thisis_mai_,,,1,,1,,,,Thailand,
boat_thitiwat19,1,1,,1,,1,,,Thailand,
baitoey_thunyarut,1,,1,,1,,,,Thailand,
nut_nuttawateiei,1,,1,,1,,,,Thailand,
jo_caronline,1,,,,1,,,,Thailand,
aller___,1,,,,1,1,,,Unknown,Chinese
paper_.r,,,,1,,1,,,Thailand,
k.w.a.n.gi,,,,,1,1,,,Thailand,
hollylin1938,,,,,,,,,Unknown,chinese
seth.patrick,,,,,,,,,Unknown,Thai with many lan
sissifirmery,,,1,,1,,,,China,have weibo
pong_piyachet,,,1,,1,,,,Thailand,
watcharin1987,,,,,1,,,,Thailand,
amysupreeya,,,1,,1,1,,,Thailand,emoji in bio
wonder__four,,,,,1,1,,,Thailand,
smdcovic,1,,,1,1,,,,Thailand,
gift.ttttt_,,1,,,1,,,,Thailand,
kantyaanaithraekw,1,,,1,1,,,,Thailand,
sprite_cwn,,1,,,1,1,,,Thailand,almost cap and bio in jpn
chlzcute,1,,,,1,,,,Thailand,many lang
jegheterying,1,,,1,1,,,,Thailand,
aumnaj.neam,,,,,,,,,NAT,
arabia_as,,,,1,1,1,,,Spain,
naominthailand,1,,1,,1,,,,Korea,
pim_tokage,1,,,,1,,,,Thailand,mostly in english 
meetmeet_pulip,1,,,,1,,,,Korea,many lang
_frame._,,,,,1,1,,,Thailand,
happine566,,,,1,1,,,,Russia,or maybe from diff soviet
tharn_meddler,1,,,,1,,,,Thailand,
pearlhello63,1,,,,1,1,,,Thailand,
ccmikimoto15,,,,,1,1,,,Thailand,many lang
saisapai_chiangmai_shop,1,,1,1,1,,,,NAT,
an_ae_731,1,,1,1,1,1,,,Korea,
manchart,1,,1,,1,,,,Thailand,emoji
kuliss.f,1,,,,1,,,,Thailand,
paii___paii,1,,1,,1,1,,,Thailand,
